id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,emission_source,UOM (simple),UOM,UOM_wd,Lookup,GHG,emission_target_formula,emission_target,emission_target_wd,GHG_wd,valid_from,valid_to,region,region_wd,Conversion Factor 2019,GWP,Value 2019,GWP_id
1,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Gross CV),kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.18385,,0.18385,
2,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Gross CV),kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00024,28.0,8.571428571428571e-06,ch4_co2e_2014
3,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Gross CV),kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.18351,1.0,0.18351,co2_co2e_2014
4,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Gross CV),kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0001,265.0,3.773584905660378e-07,n2o_co2e_2014
5,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Net CV),kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.20428,,0.20428,
6,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Net CV),kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00027,28.0,9.642857142857142e-06,ch4_co2e_2014
7,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Net CV),kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.2039,1.0,0.2039,co2_co2e_2014
8,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Net CV),kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00011,265.0,4.1509433962264154e-07,n2o_co2e_2014
9,Scope1,Fuels,Gaseous fuels,CNG,,Volume,Gaseous_fuels_CNG,litres,litres,https://www.wikidata.org/wiki/Q11582,CNG litres,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.44486,,0.44486,
10,Scope1,Fuels,Gaseous fuels,CNG,,Volume,Gaseous_fuels_CNG,litres,litres,https://www.wikidata.org/wiki/Q11582,CNG litres,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00058,28.0,2.0714285714285715e-05,ch4_co2e_2014
11,Scope1,Fuels,Gaseous fuels,CNG,,Volume,Gaseous_fuels_CNG,litres,litres,https://www.wikidata.org/wiki/Q11582,CNG litres,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.44404,1.0,0.44404,co2_co2e_2014
12,Scope1,Fuels,Gaseous fuels,CNG,,Volume,Gaseous_fuels_CNG,litres,litres,https://www.wikidata.org/wiki/Q11582,CNG litres,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00023,265.0,8.679245283018868e-07,n2o_co2e_2014
13,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,CNG tonnes,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2542.04,,2542.04,
14,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,CNG tonnes,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,3.34,28.0,0.11928571428571429,ch4_co2e_2014
15,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,CNG tonnes,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2537.36,1.0,2537.36,co2_co2e_2014
16,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,CNG tonnes,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.34,265.0,0.005056603773584906,n2o_co2e_2014
17,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,Gaseous_fuels_LNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LNG kWh (Gross CV),kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.18443,,0.18443,
18,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,Gaseous_fuels_LNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LNG kWh (Gross CV),kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00024,28.0,8.571428571428571e-06,ch4_co2e_2014
19,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,Gaseous_fuels_LNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LNG kWh (Gross CV),kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.18409,1.0,0.18409,co2_co2e_2014
