id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,emission_source,UOM (simple),UOM,UOM_wd,Lookup,GHG,emission_target_formula,emission_target,emission_target_wd,GHG_wd,valid_from,valid_to,region,region_wd,Conversion Factor 2020,GWP,Value 2020,GWP_id
1,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Gross CV),kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.18387,,0.18387,
2,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Gross CV),kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00025,28.0,8.92857142857143e-06,ch4_co2e_2014
3,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Gross CV),kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.18352,1.0,0.18352,co2_co2e_2014
4,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Gross CV),kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0001,265.0,3.773584905660378e-07,n2o_co2e_2014
5,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Net CV),kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.20374,,0.20374,
6,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Net CV),kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00027,28.0,9.642857142857142e-06,ch4_co2e_2014
7,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Net CV),kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.20336,1.0,0.20336,co2_co2e_2014
8,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Net CV),kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00011,265.0,4.1509433962264154e-07,n2o_co2e_2014
9,Scope1,Fuels,Gaseous fuels,CNG,,Volume,Gaseous_fuels_CNG,litres,litres,https://www.wikidata.org/wiki/Q11582,CNG litres,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.44327,,0.44327,
10,Scope1,Fuels,Gaseous fuels,CNG,,Volume,Gaseous_fuels_CNG,litres,litres,https://www.wikidata.org/wiki/Q11582,CNG litres,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00059,28.0,2.107142857142857e-05,ch4_co2e_2014
11,Scope1,Fuels,Gaseous fuels,CNG,,Volume,Gaseous_fuels_CNG,litres,litres,https://www.wikidata.org/wiki/Q11582,CNG litres,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.44245,1.0,0.44245,co2_co2e_2014
12,Scope1,Fuels,Gaseous fuels,CNG,,Volume,Gaseous_fuels_CNG,litres,litres,https://www.wikidata.org/wiki/Q11582,CNG litres,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00023,265.0,8.679245283018868e-07,n2o_co2e_2014
13,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,CNG tonnes,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2533.0,,2533.0,
14,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,CNG tonnes,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,3.4,28.0,0.12142857142857143,ch4_co2e_2014
15,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,CNG tonnes,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2528.26,1.0,2528.26,co2_co2e_2014
16,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,CNG tonnes,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.33,265.0,0.005018867924528302,n2o_co2e_2014
17,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,Gaseous_fuels_LNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LNG kWh (Gross CV),kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.18455,,0.18455,
18,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,Gaseous_fuels_LNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LNG kWh (Gross CV),kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00025,28.0,8.92857142857143e-06,ch4_co2e_2014
19,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,Gaseous_fuels_LNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LNG kWh (Gross CV),kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2020-01-01T00:00:00,2020-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.18421,1.0,0.18421,co2_co2e_2014
