id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,emission_source,UOM,UOM_wd,GHG,emission_target_formula,emission_target,emission_target_wd,GHG_wd,valid_from,valid_to,region,region_wd,Conversion Factor 2017,GWP,Value 2017,GWP_id
13,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,https://www.wikidata.org/wiki/Q191118,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2814.0077943581973,,2814.0077943581973,
14,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,https://www.wikidata.org/wiki/Q191118,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,3.962955816509364,28.0,0.14153413630390585,ch4_co2e_2014
15,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,https://www.wikidata.org/wiki/Q191118,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2808.5695257604048,1.0,2808.5695257604048,co2_co2e_2014
16,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,https://www.wikidata.org/wiki/Q191118,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.47531278128318,265.0,0.005567218042578038,n2o_co2e_2014
17,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,Gaseous_fuels_LNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.1841639890773745,,0.1841639890773745,
18,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,Gaseous_fuels_LNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0002593574023387,28.0,9.262764369239285e-06,ch4_co2e_2014
19,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,Gaseous_fuels_LNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.1838080791752585,1.0,0.1838080791752585,co2_co2e_2014
20,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,Gaseous_fuels_LNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,9.655249977724892e-05,265.0,3.6434905576320344e-07,n2o_co2e_2014
21,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,Gaseous_fuels_LNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.2046266545304161,,0.2046266545304161,
22,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,Gaseous_fuels_LNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0002881748914875,28.0,1.0291960410267858e-05,ch4_co2e_2014
23,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,Gaseous_fuels_LNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.2042311990836205,1.0,0.2042311990836205,co2_co2e_2014
24,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,Gaseous_fuels_LNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.000107280555308,265.0,4.0483228418113205e-07,n2o_co2e_2014
25,Scope1,Fuels,Gaseous fuels,LNG,,Volume,Gaseous_fuels_LNG,litres,https://www.wikidata.org/wiki/Q11582,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.273306694279727,,1.273306694279727,
26,Scope1,Fuels,Gaseous fuels,LNG,,Volume,Gaseous_fuels_LNG,litres,https://www.wikidata.org/wiki/Q11582,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0017931926771535,28.0,6.4042595612625e-05,ch4_co2e_2014
27,Scope1,Fuels,Gaseous fuels,LNG,,Volume,Gaseous_fuels_LNG,litres,https://www.wikidata.org/wiki/Q11582,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.2708459392581015,1.0,1.2708459392581015,co2_co2e_2014
28,Scope1,Fuels,Gaseous fuels,LNG,,Volume,Gaseous_fuels_LNG,litres,https://www.wikidata.org/wiki/Q11582,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.000667562344472,265.0,2.5191031866867926e-06,n2o_co2e_2014
29,Scope1,Fuels,Gaseous fuels,LNG,,Tonnes,Gaseous_fuels_LNG,tonnes,https://www.wikidata.org/wiki/Q191118,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2814.0077943581973,,2814.0077943581973,
30,Scope1,Fuels,Gaseous fuels,LNG,,Tonnes,Gaseous_fuels_LNG,tonnes,https://www.wikidata.org/wiki/Q191118,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,3.962955816509364,28.0,0.14153413630390585,ch4_co2e_2014
31,Scope1,Fuels,Gaseous fuels,LNG,,Tonnes,Gaseous_fuels_LNG,tonnes,https://www.wikidata.org/wiki/Q191118,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2808.5695257604048,1.0,2808.5695257604048,co2_co2e_2014
32,Scope1,Fuels,Gaseous fuels,LNG,,Tonnes,Gaseous_fuels_LNG,tonnes,https://www.wikidata.org/wiki/Q191118,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.47531278128318,265.0,0.005567218042578038,n2o_co2e_2014
33,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,Gaseous_fuels_LPG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.2145097228157133,,0.2145097228157133,
34,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,Gaseous_fuels_LPG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0001547945805847,28.0,5.528377878025e-06,ch4_co2e_2014
35,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,Gaseous_fuels_LPG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.2141914944867855,1.0,0.2141914944867855,co2_co2e_2014
36,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,Gaseous_fuels_LPG,kWh,https://www.wikidata.org/wiki/Q182098,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0001634337483429,265.0,6.167311258222642e-07,n2o_co2e_2014
37,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,Gaseous_fuels_LPG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.2303336441702064,,0.2303336441702064,
38,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,Gaseous_fuels_LPG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0001662134442014,28.0,5.936194435764286e-06,ch4_co2e_2014
39,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,Gaseous_fuels_LPG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.229991940821202,1.0,0.229991940821202,co2_co2e_2014
40,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,Gaseous_fuels_LPG,kWh,https://www.wikidata.org/wiki/Q182098,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0001754899048029,265.0,6.6222605586e-07,n2o_co2e_2014
41,Scope1,Fuels,Gaseous fuels,LPG,,Volume,Gaseous_fuels_LPG,litres,https://www.wikidata.org/wiki/Q11582,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.508071357441644,,1.508071357441644,
42,Scope1,Fuels,Gaseous fuels,LPG,,Volume,Gaseous_fuels_LPG,litres,https://www.wikidata.org/wiki/Q11582,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0010882549760583,28.0,3.886624914493929e-05,ch4_co2e_2014
43,Scope1,Fuels,Gaseous fuels,LPG,,Volume,Gaseous_fuels_LPG,litres,https://www.wikidata.org/wiki/Q11582,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.5058341114013103,1.0,1.5058341114013103,co2_co2e_2014
44,Scope1,Fuels,Gaseous fuels,LPG,,Volume,Gaseous_fuels_LPG,litres,https://www.wikidata.org/wiki/Q11582,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0011489910642751,265.0,4.33581533688717e-06,n2o_co2e_2014
45,Scope1,Fuels,Gaseous fuels,LPG,,Tonnes,Gaseous_fuels_LPG,tonnes,https://www.wikidata.org/wiki/Q191118,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2940.4375327397174,,2940.4375327397174,
46,Scope1,Fuels,Gaseous fuels,LPG,,Tonnes,Gaseous_fuels_LPG,tonnes,https://www.wikidata.org/wiki/Q191118,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2.121879552318644,28.0,0.07578141258280871,ch4_co2e_2014
47,Scope1,Fuels,Gaseous fuels,LPG,,Tonnes,Gaseous_fuels_LPG,tonnes,https://www.wikidata.org/wiki/Q191118,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2936.075350410275,1.0,2936.075350410275,co2_co2e_2014
48,Scope1,Fuels,Gaseous fuels,LPG,,Tonnes,Gaseous_fuels_LPG,tonnes,https://www.wikidata.org/wiki/Q191118,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2.240302777123731,265.0,0.008453972743863135,n2o_co2e_2014
49,Scope1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,Gaseous_fuels_Natural_gas,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.1841639890773745,,0.1841639890773745,
50,Scope1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,Gaseous_fuels_Natural_gas,kWh,https://www.wikidata.org/wiki/Q182098,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0002593574023387,28.0,9.262764369239285e-06,ch4_co2e_2014
51,Scope1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,Gaseous_fuels_Natural_gas,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.1838080791752585,1.0,0.1838080791752585,co2_co2e_2014
52,Scope1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,Gaseous_fuels_Natural_gas,kWh,https://www.wikidata.org/wiki/Q182098,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,9.655249977724892e-05,265.0,3.6434905576320344e-07,n2o_co2e_2014
53,Scope1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,Gaseous_fuels_Natural_gas,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.2046266545304161,,0.2046266545304161,
54,Scope1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,Gaseous_fuels_Natural_gas,kWh,https://www.wikidata.org/wiki/Q182098,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0002881748914875,28.0,1.0291960410267858e-05,ch4_co2e_2014
55,Scope1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,Gaseous_fuels_Natural_gas,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.2042311990836205,1.0,0.2042311990836205,co2_co2e_2014
56,Scope1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,Gaseous_fuels_Natural_gas,kWh,https://www.wikidata.org/wiki/Q182098,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.000107280555308,265.0,4.0483228418113205e-07,n2o_co2e_2014
