id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,emission_source,UOM (simple),UOM,UOM_wd,Lookup,GHG,emission_target_formula,emission_target,emission_target_wd,GHG_wd,valid_from,valid_to,region,region_wd,Conversion Factor 2018,GWP,Value 2018,GWP_id
1,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Gross CV),kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2018-01-01T00:00:00,2018-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.18396,,0.18396,
2,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Gross CV),kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2018-01-01T00:00:00,2018-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00024,28.0,8.571428571428571e-06,ch4_co2e_2014
3,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Gross CV),kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2018-01-01T00:00:00,2018-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.18362,1.0,0.18362,co2_co2e_2014
4,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Gross CV),kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2018-01-01T00:00:00,2018-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0001,265.0,3.773584905660378e-07,n2o_co2e_2014
5,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Net CV),kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2018-01-01T00:00:00,2018-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.20437,,0.20437,
6,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Net CV),kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2018-01-01T00:00:00,2018-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00027,28.0,9.642857142857142e-06,ch4_co2e_2014
7,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Net CV),kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2018-01-01T00:00:00,2018-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.20399,1.0,0.20399,co2_co2e_2014
8,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,CNG kWh (Net CV),kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2018-01-01T00:00:00,2018-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00011,265.0,4.1509433962264154e-07,n2o_co2e_2014
9,Scope1,Fuels,Gaseous fuels,CNG,,Volume,Gaseous_fuels_CNG,litres,litres,https://www.wikidata.org/wiki/Q11582,CNG litres,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2018-01-01T00:00:00,2018-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.48066,,0.48066,
10,Scope1,Fuels,Gaseous fuels,CNG,,Volume,Gaseous_fuels_CNG,litres,litres,https://www.wikidata.org/wiki/Q11582,CNG litres,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2018-01-01T00:00:00,2018-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00063,28.0,2.25e-05,ch4_co2e_2014
11,Scope1,Fuels,Gaseous fuels,CNG,,Volume,Gaseous_fuels_CNG,litres,litres,https://www.wikidata.org/wiki/Q11582,CNG litres,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2018-01-01T00:00:00,2018-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.47977,1.0,0.47977,co2_co2e_2014
12,Scope1,Fuels,Gaseous fuels,CNG,,Volume,Gaseous_fuels_CNG,litres,litres,https://www.wikidata.org/wiki/Q11582,CNG litres,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2018-01-01T00:00:00,2018-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00025,265.0,9.433962264150943e-07,n2o_co2e_2014
13,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,CNG tonnes,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2018-01-01T00:00:00,2018-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2746.63,,2746.63,
14,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,CNG tonnes,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2018-01-01T00:00:00,2018-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,3.63,28.0,0.12964285714285714,ch4_co2e_2014
