id,Scope,Level 1,Level 2,Level 3,Level 4,emission_source,Column Text,UOM simple,uom_wd,UOM,GHG,ghg_wd,emission_target,emission_target_formula,emission_target_wd,GHG Conversion Factor 2016,valid_from,valid_to,region,region_wd
25,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Volume,litre,http://www.wikidata.org/entity/Q11582,litres,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,CO2e,http://www.wikidata.org/entity/Q1933140,1.22888,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
26,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Volume,litre,http://www.wikidata.org/entity/Q11582,litres,kilogram,http://www.wikidata.org/entity/Q11570,methane,CH4,http://www.wikidata.org/entity/Q37129,0.0017,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
27,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Volume,litre,http://www.wikidata.org/entity/Q11582,litres,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,CO2,http://www.wikidata.org/entity/Q1997,1.22653,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
28,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Volume,litre,http://www.wikidata.org/entity/Q11582,litres,kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,N2O,http://www.wikidata.org/entity/Q905750,0.00064,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
29,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,CO2e,http://www.wikidata.org/entity/Q1933140,2715.82599,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
30,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,methane,CH4,http://www.wikidata.org/entity/Q37129,3.76372,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
31,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,CO2,http://www.wikidata.org/entity/Q1997,2710.63714,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
32,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,N2O,http://www.wikidata.org/entity/Q905750,1.42512,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
33,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,CO2e,http://www.wikidata.org/entity/Q1933140,0.21458,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
34,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,methane,CH4,http://www.wikidata.org/entity/Q37129,0.00019,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
35,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,CO2,http://www.wikidata.org/entity/Q1997,0.21419,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
