id,Scope,Level 1,Level 2,Level 3,Level 4,emission_source,Column Text,UOM simple,uom_wd,UOM,GHG,GHG_wd,emission_target,emission_target_wd,Lookup,GHG Conversion Factor 2021,valid_from,valid_to,region_wd
17,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,CNG kWh (Gross CV),0.18316,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
18,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,CNG kWh (Gross CV),0.00025,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
19,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,CNG kWh (Gross CV),0.18282,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
20,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,CNG kWh (Gross CV),0.0001,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
21,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,CNG kWh (Net CV),0.20297,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
22,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,CNG kWh (Net CV),0.00028,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
23,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,CNG kWh (Net CV),0.20258,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
24,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,CNG kWh (Net CV),0.00011,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
25,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,CNG litres,0.44423,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
26,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,CNG litres,0.0006,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
27,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,CNG litres,0.4434,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
28,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,CNG litres,0.00023,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
29,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Tonnes,tonne,https://www.wikidata.org/wiki/Q191118,tonnes,kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,CNG tonnes,2538.48,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
30,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Tonnes,tonne,https://www.wikidata.org/wiki/Q191118,tonnes,kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,CNG tonnes,3.44,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
31,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Tonnes,tonne,https://www.wikidata.org/wiki/Q191118,tonnes,kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,CNG tonnes,2533.69,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
32,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Tonnes,tonne,https://www.wikidata.org/wiki/Q191118,tonnes,kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,CNG tonnes,1.34,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
33,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,LNG kWh (Gross CV),0.18438,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
