id,Scope,Level 1,Level 2,Level 3,Level 4,emission_source,Column Text,UOM simple,uom_wd,UOM,GHG,GHG_wd,emission_target,emission_target_wd,emission_target_formula,Lookup,GHG Conversion Factor 2019,valid_from,valid_to,region,region_wd
14,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,methane,http://www.wikidata.org/entity/Q37129,CH4,CNG tonnes,3.34,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
15,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,http://www.wikidata.org/entity/Q1997,CO2,CNG tonnes,2537.36,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
16,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,http://www.wikidata.org/entity/Q905750,N2O,CNG tonnes,1.34,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
17,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,http://www.wikidata.org/entity/Q1933140,CO2e,LNG kWh (Gross CV),0.18443,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
18,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,methane,http://www.wikidata.org/entity/Q37129,CH4,LNG kWh (Gross CV),0.00024,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
19,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,http://www.wikidata.org/entity/Q1997,CO2,LNG kWh (Gross CV),0.18409,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
20,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,http://www.wikidata.org/entity/Q905750,N2O,LNG kWh (Gross CV),0.0001,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
21,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Net CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,http://www.wikidata.org/entity/Q1933140,CO2e,LNG kWh (Net CV),0.20492,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
22,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Net CV),kilogram,http://www.wikidata.org/entity/Q11570,methane,http://www.wikidata.org/entity/Q37129,CH4,LNG kWh (Net CV),0.00027,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
23,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Net CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,http://www.wikidata.org/entity/Q1997,CO2,LNG kWh (Net CV),0.20455,2019-01-01T00:00:00,2019-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
