provider,providerName,offsetRatio,region,regionName,country_wikidata,country,state,city,impact_modified,impact,valid_from,valid_to,source_curated,source,PUE,PUE source,comment
aws,Amazon Web Services,0,cn-northwest-1,China (Ningxia),http://www.wikidata.org/entity/Q148,China,,Zhongwei,0.68,680,2018-01-01T00:00:00,2018-12-31T23:59:59,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,,,
aws,Amazon Web Services,100,eu-central-1,EU (Frankfurt),http://www.wikidata.org/entity/Q183,Germany,,Frankfurt am Main,0.615,615,2019-01-01T00:00:00,2019-12-31T23:59:59,www.electricitymap.org,"measured on  July 2, 2019 between 8 and 9 PM, EST on www.electricitymap.org",,,
aws,Amazon Web Services,100,eu-west-1,EU (Ireland),http://www.wikidata.org/entity/Q27,Ireland,,Dublin,0.617,617,2013-01-01T00:00:00,2013-12-31T23:59:59,https://www.sciencedirect.com/science/article/pii/S1361920916307933,https://www.sciencedirect.com/science/article/pii/S1361920916307933,,,
aws,Amazon Web Services,0,eu-west-2,EU (London),http://www.wikidata.org/entity/Q145,United Kingdom,,London,0.623,623,2013-01-01T00:00:00,2013-12-31T23:59:59,https://www.sciencedirect.com/science/article/pii/S1361920916307933,https://www.sciencedirect.com/science/article/pii/S1361920916307933,,,
aws,Amazon Web Services,0,eu-west-3,EU (Paris),http://www.wikidata.org/entity/Q142,France,,Paris,0.105,105,2013-01-01T00:00:00,2013-12-31T23:59:59,https://www.sciencedirect.com/science/article/pii/S1361920916307933,https://www.sciencedirect.com/science/article/pii/S1361920916307933,,,
aws,Amazon Web Services,0,eu-north-1,EU (Stockholm),http://www.wikidata.org/entity/Q34,Sweden,,Stockholm,0.047,47,2013-01-01T00:00:00,2013-12-31T23:59:59,https://www.sciencedirect.com/science/article/pii/S1361920916307933,https://www.sciencedirect.com/science/article/pii/S1361920916307933,,,
aws,Amazon Web Services,0,sa-east-1,South America (São Paulo),http://www.wikidata.org/entity/Q155,Brazil,,Sao Paulo,0.205,205,2016-01-01T00:00:00,2016-12-31T23:59:59,https://pdfs.semanticscholar.org/bd2a/69da81529a0f8dd16573dfd38e9d7468637e.pdf,https://pdfs.semanticscholar.org/bd2a/69da81529a0f8dd16573dfd38e9d7468637e.pdf,,,
aws,Amazon Web Services,0,us-gov-east-1,AWS GovCloud (US-East),http://www.wikidata.org/entity/Q30,USA,,Dublin,0.5682,568.2,,,,eGRID,,,
aws,Amazon Web Services,100,us-gov-west-1,AWS GovCloud (US),http://www.wikidata.org/entity/Q30,USA,,Seattle,0.2976,297.6,,,,eGRID,,,
azure,Azure,100,eastasia,East Asia,http://www.wikidata.org/entity/Q148,Hong Kong,Wanchai,Wan Chai,0.702,702,2002-01-01T00:00:00,2015-12-31T23:59:59,https://www.sciencedirect.com/science/article/pii/S095965261731627X,https://www.sciencedirect.com/science/article/pii/S095965261731627X,,,
