id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,emission_source,UOM,UOM_wd,GHG/Unit,emission_target_formula,emission_target,emission_target_wd,GHG,GHG_wd,valid_from,valid_to,region,region_wd,Conversion Factor 2017,Value 2017,GWP,GWP_id
1,Scope2,Energy,Agriculture - stationary combustion,Burning oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Burning_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.95796e+20,1.95796e+20,1.0,co2asC_co2e_2014
2,Scope2,Energy,Agriculture - stationary combustion,Coal,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Coal,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,24618182000000.0,24618182000000.0,1.0,co2asC_co2e_2014
3,Scope2,Energy,Agriculture - stationary combustion,Coke,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Coke,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2.77752e+20,2.77752e+20,1.0,co2asC_co2e_2014
4,Scope2,Energy,Agriculture - stationary combustion,Fuel oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Fuel_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2.16196e+20,2.16196e+20,1.0,co2asC_co2e_2014
5,Scope2,Energy,Agriculture - stationary combustion,Gas oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Gas_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2.04375e+20,2.04375e+20,1.0,co2asC_co2e_2014
6,Scope2,Energy,Agriculture - stationary combustion,Natural gas,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Natural_gas,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.53812e+20,1.53812e+20,1.0,co2asC_co2e_2014
7,Scope2,Energy,Agriculture - stationary combustion,Vaporising oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Vaporising_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2.01791e+20,2.01791e+20,1.0,co2asC_co2e_2014
8,Scope2,Energy,Agriculture - stationary combustion,Burning oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Burning_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,10.0,0.35714285714285715,28.0,ch4_co2e_2014
9,Scope2,Energy,Agriculture - stationary combustion,Coal,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Coal,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,3000000.0,107142.85714285714,28.0,ch4_co2e_2014
10,Scope2,Energy,Agriculture - stationary combustion,Coke,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Coke,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,3000000.0,107142.85714285714,28.0,ch4_co2e_2014
